row_id,e164,category,truth_valid,truth_line_type,truth_carrier
F0001,+12748965238,F,false,,
F0002,+14148726755,F,false,,
F0003,+13246470226,F,false,,
F0004,+18108563537,F,false,,
F0005,+16288739005,F,false,,
F0006,+13576478227,F,false,,
F0007,+16593943195,F,false,,
F0008,+19755973257,F,false,,
F0009,+16284589430,F,false,,
F0010,+18215837288,F,false,,
F0011,+19139601743,F,false,,
F0012,+16563809210,F,false,,
F0013,+18269654569,F,false,,
F0014,+14236997749,F,false,,
F0015,+18544532668,F,false,,
F0016,+12725628652,F,false,,
F0017,+12348844472,F,false,,
F0018,+19846062667,F,false,,
F0019,+19524221740,F,false,,
F0020,+19896166440,F,false,,
F0021,+17314858820,F,false,,
F0022,+19597749649,F,false,,
F0023,+19484324726,F,false,,
F0024,+19245822205,F,false,,
F0025,+18575365780,F,false,,
F0026,+19846094834,F,false,,
F0027,+13858144608,F,false,,
F0028,+17385530817,F,false,,
F0029,+19836872891,F,false,,
F0030,+18567094347,F,false,,
F0031,+13517587324,F,false,,
F0032,+12275608831,F,false,,
F0033,+18215350077,F,false,,
F0034,+13268651610,F,false,,
F0035,+18729886565,F,false,,
F0036,+16593881227,F,false,,
F0037,+19416523496,F,false,,
F0038,+13403299391,F,false,,
F0039,+13266757765,F,false,,
F0040,+14644767634,F,false,,
F0041,+16796131671,F,false,,
F0042,+18389352032,F,false,,
F0043,+13078302183,F,false,,
F0044,+17727960334,F,false,,
F0045,+18202759646,F,false,,
F0046,+16452757264,F,false,,
F0047,+13243756606,F,false,,
F0048,+15394647388,F,false,,
F0049,+15865238879,F,false,,
F0050,+13634133755,F,false,,
F0051,+16519297836,F,false,,
F0052,+12357896735,F,false,,
F0053,+13518200732,F,false,,
F0054,+13255919719,F,false,,
F0055,+14347786999,F,false,,
F0056,+12204466874,F,false,,
F0057,+16794197788,F,false,,
F0058,+18355106846,F,false,,
F0059,+15729939209,F,false,,
F0060,+14248108085,F,false,,
F0061,+13417724785,F,false,,
F0062,+17717263742,F,false,,
F0063,+16819356275,F,false,,
F0064,+14367128889,F,false,,
F0065,+18308020689,F,false,,
F0066,+12398798666,F,false,,
F0067,+12749607957,F,false,,
F0068,+16246067314,F,false,,
F0069,+16795145562,F,false,,
F0070,+13804044209,F,false,,
F0071,+13316489030,F,false,,
F0072,+19419380620,F,false,,
F0073,+16078259617,F,false,,
F0074,+17633992751,F,false,,
F0075,+14366213160,F,false,,
F0076,+12528741265,F,false,,
F0077,+18577842314,F,false,,
F0078,+13243673602,F,false,,
F0079,+14484898661,F,false,,
F0080,+17488404327,F,false,,
F0081,+18386220085,F,false,,
F0082,+16214327189,F,false,,
F0083,+17259829210,F,false,,
F0084,+12278842926,F,false,,
F0085,+19807037777,F,false,,
F0086,+19345828450,F,false,,
F0087,+16849135630,F,false,,
F0088,+12744051544,F,false,,
F0089,+18789662982,F,false,,
F0090,+13399576389,F,false,,
F0091,+13515845846,F,false,,
F0092,+13328759053,F,false,,
F0093,+19753619570,F,false,,
F0094,+17277140981,F,false,,
F0095,+19154231186,F,false,,
F0096,+14713421165,F,false,,
F0097,+14653292153,F,false,,
F0098,+13259431702,F,false,,
F0099,+12347404831,F,false,,
F0100,+14454522707,F,false,,
F0101,+13317893935,F,false,,
F0102,+17297090483,F,false,,
F0103,+14249345206,F,false,,
F0104,+18203769252,F,false,,
F0105,+17489694946,F,false,,
F0106,+16247917044,F,false,,
F0107,+13292802198,F,false,,
F0108,+12833291307,F,false,,
F0109,+18549384234,F,false,,
F0110,+15649855732,F,false,,
F0111,+17636180327,F,false,,
F0112,+15519899844,F,false,,
F0113,+17277648189,F,false,,
F0114,+12319750876,F,false,,
F0115,+17255402821,F,false,,
F0116,+14639367178,F,false,,
F0117,+15678457226,F,false,,
F0118,+17306062496,F,false,,
F0119,+16415387635,F,false,,
F0120,+15344167548,F,false,,
F0121,+17386149796,F,false,,
F0122,+17724767533,F,false,,
F0123,+15723649633,F,false,,
F0124,+19489342328,F,false,,
F0125,+14366728644,F,false,,
F0126,+13265833129,F,false,,
F0127,+15397941920,F,false,,
F0128,+13396304015,F,false,,
F0129,+17387344450,F,false,,
F0130,+13806584816,F,false,,
F0131,+13027906777,F,false,,
F0132,+14362721887,F,false,,
F0133,+14644431589,F,false,,
F0134,+18203173578,F,false,,
F0135,+15347812533,F,false,,
F0136,+12793245217,F,false,,
F0137,+13297504574,F,false,,
F0138,+13315573430,F,false,,
F0139,+13257466889,F,false,,
F0140,+13208021818,F,false,,
F0141,+19758328925,F,false,,
F0142,+14633679973,F,false,,
F0143,+19307999208,F,false,,
F0144,+12795471105,F,false,,
F0145,+14248827979,F,false,,
